batch,context_len,kv_len,hit_rate,bench_miss_mask,synthetic_cache_pattern,flashinfer_ms,flashinfer_run_event_ms,flashinfer_plan_run_event_ms,flashinfer_plan_run_wall_ms,mac_ms,mac_event_ms,mac_wall_ms,mac_speedup_vs_flashinfer,tile_tokens,complete_rows,group_tail_rows,hit_tail_rows,fallback_reduce_groups,balanced_tile_tokens,non_hit_groups,full_fallback_groups,max_full_fallback_reduce_chunks,max_mixed_reduce_chunks,miss_head_count,miss_count_0_groups,miss_count_1_groups,miss_count_2_groups,miss_count_3_groups,miss_count_4_groups,mixed_miss1_groups,mixed_miss2_groups,mixed_miss3_groups,full_miss_groups,scheduled_head_slot_tokens,actual_head_tokens,active_miss_head_tokens,mixed_scheduled_head_slot_tokens,mixed_actual_head_tokens,mixed_active_miss_head_tokens,mixed_unused_head_slot_ratio,complete_group_rows,complete_head_rows,complete_mixed_z2_rows,complete_full_group_rows,complete_mixed_group_rows,complete_mac_hit_group_rows,estimated_materialized_partial_rect_states,estimated_active_partial_rect_states,estimated_inactive_partial_rect_states,estimated_inactive_partial_rect_state_ratio,estimated_partial_rect_states,estimated_partial_rect_bytes,estimated_phase4_rect_state_reads,estimated_phase4_rect_read_bytes,estimated_active_phase4_rect_state_reads,estimated_inactive_phase4_rect_state_reads,estimated_inactive_phase4_rect_read_ratio,miss_mask_hist,group_task_miss_mask_hist,phase_order,match_pct,prepare_pct,complete_pct,reduce_pct_detail,reduce_sync_wait_pct,reduce_compute_pct,tail_pct_detail,fallback_group_merge_pct,merge_write_pct,cache_subtract_pct
1,32768,32769,0.9,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.14614153187721968,0.14569279352823894,0.14614153187721968,0.40747702373523204,32,534,16,0,2,128,2,0,0,8,3,6,1,1,0,0,1,1,0,0,261640,99395,97539,260104,97859,97539,0.6237697005271912,510,24,4,0,0,0,2064,40,2024,0.9806201550387597,2064,1065024,88,45408,53,35,0.3977272727272727,0:6;3:1;8:1,3:2;8:2,,,,,,,,,,,
1,32768,32769,0.95,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.1460682018660009,0.14545547167460124,0.1460682018660009,0.407681587728902,32,534,16,0,2,128,2,0,0,8,2,6,2,0,0,0,2,0,0,0,261640,66946,65026,260104,65410,65026,0.7485236525535583,510,24,4,0,0,0,2064,40,2024,0.9806201550387597,2064,1065024,88,45408,46,42,0.4772727272727273,0:6;1:1;8:1,1:2;8:2,,,,,,,,,,,
1,32768,32769,0.96875,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.12008370055506627,0.11959093411763509,0.12008370055506627,0.495898412342229,32,529,16,0,1,65,1,0,0,16,1,7,1,0,0,0,1,0,0,0,131844,34497,32513,130052,32705,32513,0.7485236525535583,501,28,2,0,0,0,2032,36,1996,0.9822834645669292,2032,1048512,92,47472,47,45,0.4891304347826087,0:7;8:1,8:2,,,,,,,,,,,
1,32768,32769,1.0,,faithful,0.05954931645343701,0.05866239865620931,0.05866239865620931,0.05954931645343701,0.06940394717579086,0.06899413267771402,0.06940394717579086,0.8580105149150465,32,64,16,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2048,2048,0,0,0,0,0.0,0,64,0,0,0,0,64,64,0,0.0,64,33024,64,33024,64,0,0.0,0:8,,,,,,,,,,,,
1,65536,65537,0.0,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.26230498527487117,0.26180960337320963,0.26230498527487117,0.4031119832272809,32,512,16,0,8,1021,8,8,1,0,32,0,0,0,0,8,0,0,0,8,2088992,2088992,2088992,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,1056768,32,16512,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,65536,65537,0.1,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.252804901295652,0.25234773953755696,0.252804901295652,0.418260414583088,32,889,16,0,8,176,8,7,2,6,29,0,1,0,0,7,1,0,0,7,2088992,1893341,1893149,261124,65473,65281,0.7492647171020508,889,0,1,518,0,0,3556,2076,1480,0.4161979752530934,3556,1834896,80,41280,65,15,0.1875,8:1;15:7,8:1;15:518,,,,,,,,,,,
1,65536,65537,0.2,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.26215030035624903,0.26159733136494956,0.26215030035624903,0.4033498442720189,32,810,16,0,8,447,8,6,2,3,26,0,2,0,0,6,2,0,0,6,2088992,1697690,1697306,522248,130946,130562,0.7492647171020508,810,0,4,516,0,0,3240,2074,1166,0.35987654320987655,3240,1671840,72,37152,60,12,0.16666666666666666,1:1;8:1;15:6,1:2;8:2;15:516,,,,,,,,,,,
1,65536,65537,0.3,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.24436500001077852,0.2437978744506836,0.24436500001077852,0.4327063320029141,32,835,16,0,7,415,7,5,2,3,22,1,2,0,0,5,2,0,0,5,1828124,1436822,1436182,522248,130946,130562,0.7492647171020508,831,4,2,515,0,0,3328,2072,1256,0.37740384615384615,3328,1717248,68,35088,56,12,0.17647058823529413,0:1;1:1;8:1;15:5,1:1;8:1;15:515,,,,,,,,,,,
1,65536,65537,0.4,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.21718910041575631,0.21670880317687988,0.21718910041575631,0.4868489377328122,32,990,16,0,6,383,6,4,3,3,19,2,1,1,0,4,1,1,0,4,1567256,1241171,1240339,522248,196163,195843,0.624387264251709,982,8,2,640,0,0,3936,2576,1360,0.34552845528455284,3936,2030976,80,41280,70,10,0.125,0:2;3:1;8:1;15:4,3:1;8:1;15:640,,,,,,,,,,,
1,65536,65537,0.5,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.22634419923027357,0.22588906288146973,0.22634419923027357,0.467157025380545,32,1023,16,0,5,352,5,3,4,3,16,3,1,0,1,3,1,0,1,3,1306388,1045520,1044496,522248,261380,261124,0.4995098114013672,1011,12,2,639,0,0,4056,2576,1480,0.36489151873767256,4056,2092896,84,43344,76,8,0.09523809523809523,0:3;7:1;8:1;15:3,7:1;8:1;15:639,,,,,,,,,,,
1,65536,65537,0.6,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.19548020015160242,0.19499947230021158,0.19548020015160242,0.5409155645561644,32,947,16,0,4,224,4,3,4,5,13,4,1,0,0,3,1,0,0,3,1045520,849869,848653,261124,65473,65281,0.7492647171020508,931,16,1,639,0,0,3740,2576,1164,0.31122994652406416,3740,1929840,84,43344,72,12,0.14285714285714285,0:4;8:1;15:3,8:1;15:639,,,,,,,,,,,
1,65536,65537,0.7,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.19980830062801638,0.19933013916015624,0.19980830062801638,0.5291986493664709,32,938,16,0,4,320,4,2,4,4,10,4,2,0,0,2,2,0,0,2,1045520,654218,652810,522248,130946,130562,0.7492647171020508,922,16,4,512,0,0,3704,2074,1630,0.4400647948164147,3704,1911264,80,41280,62,18,0.225,0:4;1:1;8:1;15:2,1:2;8:2;15:512,,,,,,,,,,,
1,65536,65537,0.8,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.19611658450836936,0.1956629276275635,0.19611658450836936,0.5391603320526093,32,730,16,0,3,288,3,1,4,4,6,5,2,0,0,1,2,0,0,1,784652,393350,391686,522248,130946,130562,0.7492647171020508,710,20,2,256,0,0,2860,1052,1808,0.6321678321678321,2860,1475760,68,35088,50,18,0.2647058823529412,0:5;1:1;8:1;15:1,1:1;8:1;15:256,,,,,,,,,,,
1,65536,65537,0.875,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.1761949659946064,0.17571306228637695,0.1761949659946064,0.6001209071307567,32,536,16,0,2,256,2,0,0,8,4,6,1,0,1,0,1,0,1,0,523784,262916,261124,522248,261380,261124,0.4995098114013672,512,24,258,0,0,0,2072,802,1270,0.612934362934363,2072,1069152,88,45408,60,28,0.3181818181818182,0:6;7:1;8:1,7:256;8:2,,,,,,,,,,,
1,65536,65537,0.9,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.1615203645390769,0.160971196492513,0.1615203645390769,0.6546436613506689,32,536,16,0,2,256,2,0,0,8,3,6,1,1,0,0,1,1,0,0,523784,197699,195843,522248,196163,195843,0.624387264251709,512,24,4,0,0,0,2072,40,2032,0.9806949806949807,2072,1069152,88,45408,53,35,0.3977272727272727,0:6;3:1;8:1,3:2;8:2,,,,,,,,,,,
1,65536,65537,0.95,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.16146286313111582,0.16099786758422852,0.16146286313111582,0.6548767981321583,32,536,16,0,2,256,2,0,0,8,2,6,2,0,0,0,2,0,0,0,523784,132482,130562,522248,130946,130562,0.7492647171020508,512,24,4,0,0,0,2072,40,2032,0.9806949806949807,2072,1069152,88,45408,46,42,0.4772727272727273,0:6;1:1;8:1,1:2;8:2,,,,,,,,,,,
1,65536,65537,0.96875,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.1521482520426313,0.15164586702982585,0.1521482520426313,0.6949687650366737,32,535,16,0,1,129,1,0,0,16,1,7,1,0,0,0,1,0,0,0,262916,67265,65281,261124,65473,65281,0.7492647171020508,507,28,2,0,0,0,2056,36,2020,0.9824902723735408,2056,1060896,92,47472,47,45,0.4891304347826087,0:7;8:1,8:2,,,,,,,,,,,
1,65536,65537,1.0,,faithful,0.10573828282455604,0.10527413686116537,0.10527413686116537,0.10573828282455604,0.06978013552725315,0.06935359636942545,0.06978013552725315,1.515306355105303,32,64,16,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2048,2048,0,0,0,0,0.0,0,64,0,0,0,0,64,64,0,0.0,64,33024,64,33024,64,0,0.0,0:8,,,,,,,,,,,,
1,98304,98305,0.0,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.3254610501850645,0.3249199867248535,0.3254610501850645,0.46501272900227314,32,512,16,0,8,1533,8,8,1,0,32,0,0,0,0,8,0,0,0,8,3137568,3137568,3137568,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,1056768,32,16512,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,98304,98305,0.1,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.3209035998831193,0.32031841278076173,0.3209035998831193,0.4716168069963239,32,890,16,0,8,264,8,7,2,6,29,0,1,0,0,7,1,0,0,7,3137568,2843613,2843421,392196,98241,98049,0.7495104670524597,890,0,1,518,0,0,3560,2076,1484,0.41685393258426967,3560,1836960,80,41280,65,15,0.1875,8:1;15:7,8:1;15:518,,,,,,,,,,,
1,98304,98305,0.2,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.3325158342098196,0.3320506731669108,0.3325158342098196,0.455146839819375,32,810,16,0,8,671,8,6,2,3,26,0,2,0,0,6,2,0,0,6,3137568,2549658,2549274,784392,196482,196098,0.7495104670524597,810,0,2,516,0,0,3240,2072,1168,0.36049382716049383,3240,1671840,72,37152,60,12,0.16666666666666666,1:1;8:1;15:6,1:1;8:1;15:516,,,,,,,,,,,
1,98304,98305,0.3,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.3053459183623393,0.3048826535542806,0.3053459183623393,0.4956461574538243,32,835,16,0,7,623,7,5,2,3,22,1,2,0,0,5,2,0,0,5,2745628,2157718,2157078,784392,196482,196098,0.7495104670524597,831,4,2,515,0,0,3328,2072,1256,0.37740384615384615,3328,1717248,68,35088,56,12,0.17647058823529413,0:1;1:1;8:1;15:5,1:1;8:1;15:515,,,,,,,,,,,
1,98304,98305,0.4,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.27009300344313186,0.2696186701456706,0.27009300344313186,0.5603385841217025,32,990,16,0,6,575,6,4,3,3,19,2,1,1,0,4,1,1,0,4,2353688,1863763,1862931,784392,294467,294147,0.6245920658111572,982,8,2,640,0,0,3936,2576,1360,0.34552845528455284,3936,2030976,80,41280,70,10,0.125,0:2;3:1;8:1;15:4,3:1;8:1;15:640,,,,,,,,,,,
