batch,context_len,kv_len,hit_rate,bench_miss_mask,synthetic_cache_pattern,flashinfer_ms,flashinfer_run_event_ms,flashinfer_plan_run_event_ms,flashinfer_plan_run_wall_ms,mac_ms,mac_event_ms,mac_wall_ms,mac_speedup_vs_flashinfer,tile_tokens,complete_rows,group_tail_rows,hit_tail_rows,fallback_reduce_groups,balanced_tile_tokens,non_hit_groups,full_fallback_groups,max_full_fallback_reduce_chunks,max_mixed_reduce_chunks,miss_head_count,miss_count_0_groups,miss_count_1_groups,miss_count_2_groups,miss_count_3_groups,miss_count_4_groups,mixed_miss1_groups,mixed_miss2_groups,mixed_miss3_groups,full_miss_groups,scheduled_head_slot_tokens,actual_head_tokens,active_miss_head_tokens,mixed_scheduled_head_slot_tokens,mixed_actual_head_tokens,mixed_active_miss_head_tokens,mixed_unused_head_slot_ratio,complete_group_rows,complete_head_rows,complete_mixed_z2_rows,complete_full_group_rows,complete_mixed_group_rows,complete_mac_hit_group_rows,estimated_materialized_partial_rect_states,estimated_active_partial_rect_states,estimated_inactive_partial_rect_states,estimated_inactive_partial_rect_state_ratio,estimated_partial_rect_states,estimated_partial_rect_bytes,estimated_phase4_rect_state_reads,estimated_phase4_rect_read_bytes,estimated_active_phase4_rect_state_reads,estimated_inactive_phase4_rect_state_reads,estimated_inactive_phase4_rect_read_ratio,miss_mask_hist,group_task_miss_mask_hist,phase_order,match_pct,prepare_pct,complete_pct,reduce_pct_detail,reduce_sync_wait_pct,reduce_compute_pct,tail_pct_detail,fallback_group_merge_pct,merge_write_pct,cache_subtract_pct
1,32768,32769,0.0,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.15891901372621456,0.15842186609903972,0.15891901372621456,0.375967173000112,32,256,8,0,4,509,4,4,1,0,32,0,0,0,0,0,0,0,0,4,1040416,1040416,1040416,0,0,0,0.0,256,0,0,256,0,0,2048,2048,0,0.0,2048,1056768,32,16512,32,0,0.0,255:4,255:256,,,,,,,,,,,
1,32768,32769,0.1,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.18118494966377816,0.18070400555928548,0.18118494966377816,0.329764323347413,32,570,8,0,4,175,4,3,2,3,29,0,0,0,0,0,0,0,0,3,1040416,943069,942877,260104,162757,162565,0.3742618262767792,570,0,1,384,0,0,4560,3080,1480,0.32456140350877194,4560,2352960,72,37152,66,6,0.08333333333333333,143:1;255:3,143:1;255:384,,,,,,,,,,,
1,32768,32769,0.2,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.16644333178798357,0.16597280502319336,0.16644333178798357,0.35897101845280677,32,570,8,0,4,175,4,3,2,3,26,0,0,1,0,0,0,1,0,3,1040416,845722,845338,260104,65410,65026,0.7485236525535583,570,0,1,384,0,0,4560,3080,1480,0.32456140350877194,4560,2352960,72,37152,60,12,0.16666666666666666,129:1;255:3,129:1;255:384,,,,,,,,,,,
1,32768,32769,0.3,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.17356478686754903,0.17305866877237955,0.17356478686754903,0.3442422475487848,32,484,8,0,4,286,4,2,2,2,22,0,1,0,0,0,1,0,0,2,1040416,715926,715286,520208,195718,195078,0.6237697005271912,484,0,2,256,0,0,3872,2064,1808,0.4669421487603306,3872,1997952,64,33024,54,10,0.15625,31:1;128:1;255:2,31:1;128:1;255:256,,,,,,,,,,,
1,32768,32769,0.4,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.152691799060752,0.1521663983662923,0.152691799060752,0.3913002053426498,32,484,8,0,4,286,4,2,2,2,19,0,1,1,0,0,1,1,0,2,1040416,618579,617747,520208,98371,97539,0.8109006285667419,484,0,2,256,0,0,3872,2064,1808,0.4669421487603306,3872,1997952,64,33024,51,13,0.203125,3:1;128:1;255:2,3:1;128:1;255:256,,,,,,,,,,,
1,32768,32769,0.5,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.1674728856111566,0.1668874740600586,0.1674728856111566,0.35676421355356763,32,376,8,0,3,271,3,1,2,2,16,1,1,0,0,0,1,0,0,1,780824,521232,520208,520208,260616,260104,0.49901577830314636,368,8,2,128,0,0,2952,1048,1904,0.6449864498644986,2952,1523232,56,28896,48,8,0.14285714285714285,0:1;127:1;128:1;255:1,127:1;128:1;255:128,,,,,,,,,,,
1,32768,32769,0.6,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.16416701643417278,0.16373653411865235,0.16416701643417278,0.36394845703106626,32,376,8,0,3,271,3,1,2,2,13,1,1,0,0,1,1,0,0,1,780824,423885,422669,520208,163269,162565,0.6861466765403748,368,8,2,128,0,0,2952,1048,1904,0.6449864498644986,2952,1523232,56,28896,45,11,0.19642857142857142,0:1;15:1;128:1;255:1,15:1;128:1;255:128,,,,,,,,,,,
1,32768,32769,0.7,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.16431103382880488,0.1638586680094401,0.16431103382880488,0.3636294589252142,32,376,8,0,3,271,3,1,2,2,10,1,2,0,0,0,2,0,0,1,780824,326538,325130,520208,65922,65026,0.8732776045799255,368,8,2,128,0,0,2952,1048,1904,0.6449864498644986,2952,1523232,56,28896,42,14,0.25,0:1;1:1;128:1;255:1,1:1;128:1;255:128,,,,,,,,,,,
1,32768,32769,0.8,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.16040961490944028,0.15994186401367189,0.16040961490944028,0.3724735101467701,32,272,8,0,2,255,2,0,0,4,6,2,1,0,0,0,1,0,0,0,521232,196742,195078,520208,195718,195078,0.6237697005271912,256,16,129,0,0,0,2064,667,1397,0.6768410852713178,2064,1065024,80,41280,50,30,0.375,0:2;31:1;128:1,31:128;128:1,,,,,,,,,,,
1,32768,32769,0.875,,faithful,0.059748332326610885,0.05911519924799601,0.05911519924799601,0.059748332326610885,0.14685208443552256,0.14636799494425456,0.14685208443552256,0.4068606350143039,32,272,8,0,2,255,2,0,0,4,4,2,1,0,1,0,1,0,1,0,521232,131844,130052,520208,130820,130052,0.7485236525535583,256,16,2,0,0,0,2064,32,2032,0.9844961240310077,2064,1065024,80,41280,44,36,0.45,0:2;7:1;128:1,7:1;128:1,,,,,,,,,,,
