batch,context_len,kv_len,hit_rate,bench_miss_mask,synthetic_cache_pattern,flashinfer_ms,flashinfer_run_event_ms,flashinfer_plan_run_event_ms,flashinfer_plan_run_wall_ms,mac_ms,mac_event_ms,mac_wall_ms,mac_speedup_vs_flashinfer,tile_tokens,complete_rows,group_tail_rows,hit_tail_rows,fallback_reduce_groups,balanced_tile_tokens,non_hit_groups,full_fallback_groups,max_full_fallback_reduce_chunks,max_mixed_reduce_chunks,miss_head_count,miss_count_0_groups,miss_count_1_groups,miss_count_2_groups,miss_count_3_groups,miss_count_4_groups,mixed_miss1_groups,mixed_miss2_groups,mixed_miss3_groups,full_miss_groups,scheduled_head_slot_tokens,actual_head_tokens,active_miss_head_tokens,mixed_scheduled_head_slot_tokens,mixed_actual_head_tokens,mixed_active_miss_head_tokens,mixed_unused_head_slot_ratio,complete_group_rows,complete_head_rows,complete_mixed_z2_rows,complete_full_group_rows,complete_mixed_group_rows,complete_mac_hit_group_rows,estimated_materialized_partial_rect_states,estimated_active_partial_rect_states,estimated_inactive_partial_rect_states,estimated_inactive_partial_rect_state_ratio,estimated_partial_rect_states,estimated_partial_rect_bytes,estimated_phase4_rect_state_reads,estimated_phase4_rect_read_bytes,estimated_active_phase4_rect_state_reads,estimated_inactive_phase4_rect_state_reads,estimated_inactive_phase4_rect_read_ratio,miss_mask_hist,group_task_miss_mask_hist,phase_order,match_pct,prepare_pct,complete_pct,reduce_pct_detail,reduce_sync_wait_pct,reduce_compute_pct,tail_pct_detail,fallback_group_merge_pct,merge_write_pct,cache_subtract_pct
1,73728,73729,0.8,,faithful,0.27972188327112235,0.17955519358317057,0.27933387756347655,0.27972188327112235,0.2538140666729305,0.2531994660695394,0.2538140666729305,1.1020739982531274,32,762,64,0,3,324,3,1,5,4,6,5,2,0,0,1,2,0,0,1,882956,442502,440838,587784,147330,146946,0.7493466734886169,742,20,2,288,0,0,2988,1180,1808,0.6050870147255689,2988,776880,72,18720,54,18,0.25,0:5;1:1;8:1;15:1,1:1;8:1;15:288,,,,,,,,,,,
1,73728,73729,0.875,,faithful,0.27972188327112235,0.17955519358317057,0.27933387756347655,0.27972188327112235,0.1984762835490983,0.19807306925455728,0.1984762835490983,1.4093466396549381,32,536,64,0,2,288,2,0,0,8,4,6,1,0,1,0,1,0,1,0,589320,295684,293892,587784,294148,293892,0.4995644688606262,512,24,256,0,0,0,2072,794,1278,0.6167953667953668,2072,538720,88,22880,60,28,0.3181818181818182,0:6;7:1;8:1,7:256,,,,,,,,,,,
1,73728,73729,0.96875,,faithful,0.27972188327112235,0.17955519358317057,0.27933387756347655,0.27972188327112235,0.18445038343391693,0.18405332565307617,0.18445038343391693,1.516515596571467,32,535,64,0,1,145,1,0,0,16,1,7,1,0,0,0,1,0,0,0,295684,75457,73473,293892,73665,73473,0.7493466734886169,507,28,0,0,0,0,2056,28,2028,0.9863813229571985,2056,534560,92,23920,47,45,0.4891304347826087,0:7;8:1,,,,,,,,,,,,
1,73728,73729,1.0,,faithful,0.27972188327112235,0.17955519358317057,0.27933387756347655,0.27972188327112235,0.08301493338270423,0.08263306617736817,0.08301493338270423,3.369536923936159,32,64,64,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2048,2048,0,0,0,0,0.0,0,64,0,0,0,0,64,64,0,0.0,64,16640,64,16640,64,0,0.0,0:8,,,,,,,,,,,,
1,98304,98305,0.0,,faithful,0.3315678666695021,0.2339776039123535,0.3311951955159505,0.3315678666695021,0.3716622498662521,0.3712656021118164,0.3716622498662521,0.8921214537898897,32,512,64,0,8,1533,8,8,1,0,32,0,0,0,0,8,0,0,0,8,3137568,3137568,3137568,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,532480,32,8320,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,98304,98305,0.5,,faithful,0.3315678666695021,0.2339776039123535,0.3311951955159505,0.3315678666695021,0.31878809992728446,0.3183845202128092,0.31878809992728446,1.0400885941010116,32,1026,64,0,5,528,5,3,4,3,16,3,1,0,1,3,1,0,1,3,1961748,1569808,1568784,784392,392452,392196,0.49967363476753235,1014,12,2,642,0,0,4068,2588,1480,0.3638151425762045,4068,1057680,84,21840,76,8,0.09523809523809523,0:3;7:1;8:1;15:3,7:1;8:1;15:642,,,,,,,,,,,
1,98304,98305,0.6,,faithful,0.3315678666695021,0.2339776039123535,0.3311951955159505,0.3315678666695021,0.25891853316958685,0.2585082689921061,0.25891853316958685,1.2805876142220043,32,950,64,0,4,336,4,3,4,5,13,4,1,0,0,3,1,0,0,3,1569808,1275853,1274637,392196,98241,98049,0.7495104670524597,934,16,1,642,0,0,3752,2588,1164,0.31023454157782515,3752,975520,84,21840,72,12,0.14285714285714285,0:4;8:1;15:3,8:1;15:642,,,,,,,,,,,
1,98304,98305,0.8,,faithful,0.3315678666695021,0.2339776039123535,0.3311951955159505,0.3315678666695021,0.2726512500278962,0.27223199208577475,0.2726512500278962,1.2160878288127337,32,858,64,0,3,432,3,1,6,4,6,5,2,0,0,1,2,0,0,1,1177868,589958,588294,784392,196482,196098,0.7495104670524597,838,20,2,384,0,0,3372,1564,1808,0.5361803084223014,3372,876720,76,19760,58,18,0.23684210526315788,0:5;1:1;8:1;15:1,1:1;8:1;15:384,,,,,,,,,,,
1,98304,98305,0.875,,faithful,0.3315678666695021,0.2339776039123535,0.3311951955159505,0.3315678666695021,0.21075253340920122,0.21030880610148112,0.21075253340920122,1.5732568491868304,32,536,64,0,2,384,2,0,0,8,4,6,1,0,1,0,1,0,1,0,785928,393988,392196,784392,392452,392196,0.49967363476753235,512,24,256,0,0,0,2072,793,1279,0.6172779922779923,2072,538720,88,22880,60,28,0.3181818181818182,0:6;7:1;8:1,7:256,,,,,,,,,,,
1,98304,98305,0.96875,,faithful,0.3315678666695021,0.2339776039123535,0.3311951955159505,0.3315678666695021,0.18869418321022144,0.18827946980794272,0.18869418321022144,1.7571705763717538,32,537,64,0,1,193,1,0,0,16,1,7,1,0,0,0,1,0,0,0,393988,100033,98049,392196,98241,98049,0.7495104670524597,509,28,0,0,0,0,2064,28,2036,0.9864341085271318,2064,536640,92,23920,47,45,0.4891304347826087,0:7;8:1,,,,,,,,,,,,
1,98304,98305,1.0,,faithful,0.3315678666695021,0.2339776039123535,0.3311951955159505,0.3315678666695021,0.08383573319103259,0.0834437370300293,0.08383573319103259,3.9549706795546693,32,64,64,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2048,2048,0,0,0,0,0.0,0,64,0,0,0,0,64,64,0,0.0,64,16640,64,16640,64,0,0.0,0:8,,,,,,,,,,,,
1,126976,126977,0.0,,faithful,0.39790321679902263,0.3003914515177409,0.3975306510925293,0.39790321679902263,0.4731541999111262,0.4718149185180664,0.4731541999111262,0.8409588605020558,32,512,64,0,8,1981,8,8,1,0,32,0,0,0,0,8,0,0,0,8,4055072,4055072,4055072,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,532480,32,8320,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,126976,126977,0.5,,faithful,0.39790321679902263,0.3003914515177409,0.3975306510925293,0.39790321679902263,0.3817701668594964,0.3813232103983561,0.3817701668594964,1.0422585401898723,32,1023,64,0,5,682,5,3,4,3,16,3,1,0,1,3,1,0,1,3,2535188,2028560,2027536,1013768,507140,506884,0.49974748492240906,1011,12,2,639,0,0,4056,2576,1480,0.36489151873767256,4056,1054560,84,21840,76,8,0.09523809523809523,0:3;7:1;8:1;15:3,7:1;8:1;15:639,,,,,,,,,,,
1,126976,126977,0.6,,faithful,0.39790321679902263,0.3003914515177409,0.3975306510925293,0.39790321679902263,0.30551586678484455,0.3051114718119303,0.30551586678484455,1.3023978786648114,32,947,64,0,4,434,4,3,4,5,13,4,1,0,0,3,1,0,0,3,2028560,1648589,1647373,506884,126913,126721,0.7496212124824524,931,16,1,639,0,0,3740,2576,1164,0.31122994652406416,3740,972400,84,21840,72,12,0.14285714285714285,0:4;8:1;15:3,8:1;15:639,,,,,,,,,,,
1,126976,126977,0.8,,faithful,0.39790321679902263,0.3003914515177409,0.3975306510925293,0.39790321679902263,0.29634110008676845,0.2959354718526204,0.29634110008676845,1.3427203202070752,32,972,64,0,3,558,3,1,8,4,6,5,2,0,0,1,2,0,0,1,1521932,761990,760326,1013768,253826,253442,0.7496212124824524,952,20,4,496,0,0,3828,2014,1814,0.47387669801462906,3828,995280,84,21840,66,18,0.21428571428571427,0:5;1:1;8:1;15:1,1:2;8:2;15:496,,,,,,,,,,,
1,126976,126977,0.875,,faithful,0.39790321679902263,0.3003914515177409,0.3975306510925293,0.39790321679902263,0.23273903328420906,0.23232426643371581,0.23273903328420906,1.7096539896387877,32,536,64,0,2,496,2,0,0,8,4,6,1,0,1,0,1,0,1,0,1015304,508676,506884,1013768,507140,506884,0.49974748492240906,512,24,256,0,0,0,2072,793,1279,0.6172779922779923,2072,538720,88,22880,60,28,0.3181818181818182,0:6;7:1;8:1,7:256,,,,,,,,,,,
1,126976,126977,0.96875,,faithful,0.39790321679902263,0.3003914515177409,0.3975306510925293,0.39790321679902263,0.1997864332224708,0.1993903954823812,0.1997864332224708,1.991642827698617,32,537,64,0,1,249,1,0,0,16,1,7,1,0,0,0,1,0,0,0,508676,128705,126721,506884,126913,126721,0.7496212124824524,509,28,0,0,0,0,2064,28,2036,0.9864341085271318,2064,536640,92,23920,47,45,0.4891304347826087,0:7;8:1,,,,,,,,,,,,
1,126976,126977,1.0,,faithful,0.39790321679902263,0.3003914515177409,0.3975306510925293,0.39790321679902263,0.08407391651417129,0.08367520173390706,0.08407391651417129,4.732778408532367,32,64,64,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2048,2048,0,0,0,0,0.0,0,64,0,0,0,0,64,64,0,0.0,64,16640,64,16640,64,0,0.0,0:8,,,,,,,,,,,,
