context_len,hit_rate,baseline_tok_s,mac_tok_s,speedup,baseline_wall_s,mac_wall_s,mac_faster,baseline_statuses,mac_statuses
65536,0.0,71.44285714285715,48.788333333333334,0.6829000866493368,17.97562540997751,10.520051425031852,False,200,200
65536,0.1,71.44285714285715,46.83,0.655488902219556,17.97562540997751,10.559897274011746,False,200,200
65536,0.2,71.44285714285715,48.76166666666667,0.6825268279677398,17.97562540997751,10.440501331991982,False,200,200
65536,0.3,71.44285714285715,52.20333333333333,0.7307005265613543,17.97562540997751,10.298029193014372,False,200,200
65536,0.4,71.44285714285715,54.73,0.7660667866426714,17.97562540997751,10.136070796987042,False,200,200
65536,0.5,71.44285714285715,58.985,0.8256248750249949,17.97562540997751,10.017715097987093,False,200,200
65536,0.6,71.44285714285715,60.185,0.8424215156968605,17.97562540997751,9.955996253003832,False,200,200
65536,0.7,71.44285714285715,60.108333333333334,0.8413483969872692,17.97562540997751,9.980475842952728,False,200,200
65536,0.8,71.44285714285715,62.82666666666667,0.8793974538425647,17.97562540997751,9.887380864005536,False,200,200
65536,0.875,71.44285714285715,66.43333333333334,0.9298806905285609,17.97562540997751,9.776536966033746,False,200,200
65536,0.9,71.44285714285715,67.285,0.9418016396720654,17.97562540997751,9.760409118956886,False,200,200
65536,0.95,71.44285714285715,68.01833333333333,0.9520662534159834,17.97562540997751,9.735777952009812,False,200,200
65536,0.96875,71.44285714285715,68.76166666666667,0.9624708391655001,17.97562540997751,9.715262985031586,False,200,200
65536,1.0,71.44285714285715,82.42,1.1536492701459706,17.97562540997751,9.345691316004377,True,200,200
73728,0.0,68.67142857142858,45.77166666666667,0.6665314471950627,11.479129369021393,12.484689745004289,False,200,200
73728,0.1,68.67142857142858,43.891666666666666,0.6391547049441786,11.479129369021393,12.601426545006689,False,200,200
73728,0.2,68.67142857142858,45.90833333333333,0.6685216004437972,11.479129369021393,12.461670073971618,False,200,200
73728,0.3,68.67142857142858,49.335,0.7184210526315788,11.479129369021393,12.244228437019046,False,200,200
73728,0.4,68.67142857142858,51.903333333333336,0.7558213716108453,11.479129369021393,12.117748181975912,False,200,200
73728,0.5,68.67142857142858,56.461666666666666,0.8222002635046113,11.479129369021393,11.997412123018876,False,200,200
73728,0.6,68.67142857142858,58.13,0.846494695236114,11.479129369021393,11.913857573992573,False,200,200
73728,0.7,68.67142857142858,59.19,0.8619305179945911,11.479129369021393,11.843752514978405,False,200,200
73728,0.8,68.67142857142858,62.00666666666667,0.9029470910477775,11.479129369021393,11.766347672964912,False,200,200
73728,0.875,68.67142857142858,65.94833333333334,0.9603460231606684,11.479129369021393,11.636877945973538,False,200,200
73728,0.9,68.67142857142858,66.80666666666667,0.9728451563691838,11.479129369021393,11.648366087989416,False,200,200
73728,0.95,68.67142857142858,67.46833333333333,0.982480410512447,11.479129369021393,11.614135052019265,False,200,200
73728,0.96875,68.67142857142858,68.12333333333333,0.9920185840094307,11.479129369021393,11.580989518028218,False,200,200
73728,1.0,68.67142857142858,82.44,1.2004992718951528,11.479129369021393,11.23755139298737,True,200,200
98304,0.0,61.261428571428574,39.85666666666667,0.6505996937403322,18.08397509000497,19.306639423011802,False,200,200
98304,0.1,61.261428571428574,37.99166666666667,0.6201563945308552,18.08397509000497,19.478725866996683,False,200,200
98304,0.2,61.261428571428574,39.836666666666666,0.6502732240437158,18.08397509000497,19.281545042002108,False,200,200
98304,0.3,61.261428571428574,43.510000000000005,0.7102348249889234,18.08397509000497,19.03807168797357,False,200,200
98304,0.4,61.261428571428574,46.43,0.757899400694914,18.08397509000497,18.85021374799544,False,200,200
98304,0.5,61.261428571428574,50.89,0.8307021430403656,18.08397509000497,18.61065603303723,False,200,200
98304,0.6,61.261428571428574,53.013333333333335,0.8653623424978041,18.08397509000497,18.53360301599605,False,200,200
98304,0.7,61.261428571428574,55.123333333333335,0.8998048954908316,18.08397509000497,18.39038083597552,False,200,200
98304,0.8,61.261428571428574,59.22666666666667,0.9667855949132912,18.08397509000497,18.286860364023596,False,200,200
98304,0.875,61.261428571428574,63.425,1.0353170253946784,18.08397509000497,18.12600667902734,True,200,200
98304,0.9,61.261428571428574,64.565,1.0539257981018118,18.08397509000497,18.09444476698991,True,200,200
